STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ALDI INC STORE #62,14006,5273,9495,B,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,1.70318E+14,1164949.346,1889411.852,41.8521512,-87.6700746,"(41.8521511995, -87.6700746019)"
"MY RANCH, INC.",1899688,20694,8500,B,4650 N SHERIDAN RD,60640,UPTOWN,3,46,17031830700,1.7031E+14,1168740.462,1931286.882,41.96697757,-87.65494464,"(41.9669775683, -87.6549446417)"
SAVE-A-LOT  #851,1167119,216203,114100,A,10700 S HALSTED ST,60628,MORGAN PARK,75,34,17031750100,1.70318E+14,1172839.769,1833862.847,41.69954741,-87.64275192,"(41.6995474147, -87.6427519151)"
MARIO 'S BUTCHER SHOP FD CNTR,4248,85432,10001,A,5817 W MADISON ST,60644,AUSTIN,25,29,17031252101,1.70313E+14,1137524.334,1899380.951,41.88004498,-87.77049338,"(41.8800449808, -87.7704933793)"
BOCKWINKELS,1491357,276156,7200,B,222 N COLUMBUS DR,60601,LOOP,32,42,17031320100,1.70313E+14,1178260.623,1901977.453,41.88633942,-87.62083615,"(41.886339416, -87.62083615)"
SUPERMERCADO ALEX,1772307,4076,9375,B,4134 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031301803,1.70313E+14,1149168.237,1883754.741,41.83694724,-87.72814236,"(41.8369472381, -87.7281423632)"
HALAL MEAT & GROCERY,55665,18191,2500,B,1414 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,1.7031E+14,1165598.639,1942654.154,41.99823739,-87.6661711,"(41.9982373871, -87.6661711005)"
SOUTH SHORE FOOD MARKET INC.,2008403,349092,3000,B,7501 S JEFFERY BLVD,60649,SOUTH SHORE,43,8,17031431200,1.70314E+14,1190880.91,1855602.529,41.75878729,-87.57599348,"(41.7587872873, -87.5759934845)"
SUPERMERCADO EL MEXICANO,1840895,295467,4387,B,6701 N CLARK ST,60626,ROGERS PARK,1,49,17031830600,1.70318E+14,1163903.508,1944589.819,42.00358497,-87.67235193,"(42.0035849743, -87.6723519319)"
LA PROVIDENCIA FOOD MART,16986,6991,2572,B,1658 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,1.70313E+14,1165383.899,1890168.895,41.85421937,-87.66845816,"(41.8542193742, -87.6684581591)"
ALDI #79,1515471,5273,15150,A,7800 S SOUTH CHICAGO AVE,60619,AVALON PARK,45,5,17031834300,1.70318E+14,1187754.155,1853373.518,41.75274564,-87.58752349,"(41.7527456405, -87.5875234853)"
DOMINICK'S # 86/1086,41625,5033,10001,A,3350 N WESTERN AVE,60618,NORTH CENTER,5,47,17031843700,1.70318E+14,1159720.98,1922387.081,41.9427472,-87.68835432,"(41.9427471952, -87.6883543215)"
FAMILY PRIDE,77270,22785,12500,A,10601 S PULASKI RD,60655,MOUNT GREENWOOD,74,19,17031740200,1.70317E+14,1151594.306,1833996.48,41.70035527,-87.7205409,"(41.7003552742, -87.7205408964)"
ALDI INC #58,13974,5273,12571,A,2431 W MONTROSE AVE,60618,NORTH CENTER,5,47,17031050300,1.70311E+14,1159231.783,1929105.896,41.9611941,-87.68996697,"(41.9611940986, -87.6899669704)"
CARNICERIA LA VILLA #2,2060542,357089,3289,B,5800 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,1.70312E+14,1137365.901,1913858.093,41.9197749,-87.77072653,"(41.919774901, -87.7707265258)"
TREASURE ISLAND FOODS INC,1303,85291,10001,A,75 W ELM ST,60610,NEAR NORTH SIDE,8,42,17031081000,1.70311E+14,1175348.304,1908034.504,41.90302614,-87.63134877,"(41.9030261368, -87.6313487722)"
JEWEL FOOD STORE #3241,1398,259,24262,A,1341 N PAULINA ST,60622,WEST TOWN,24,1,17031241500,1.70312E+14,1164854.812,1909123.544,41.9062437,-87.66986228,"(41.9062437031, -87.6698622813)"
WHOLE FOODS MARKET,1933690,86298,74883,A,1550 N KINGSBURY ST,60642,NEAR NORTH SIDE,8,32,17031842200,1.70318E+14,1169422.033,1910309.104,41.90939879,-87.6530507,"(41.9093987878, -87.6530506979)"
JOSEPH FOOD MART,6157,62754,3000,B,8235 W IRVING PARK RD,60634,DUNNING,17,36,17031170500,1.70312E+14,1120303.897,1925502.425,41.95201856,-87.83316684,"(41.9520185577, -87.8331668434)"
HARPER FOODS,57683,18537,3300,B,1455 E 57TH ST,60637,HYDE PARK,41,5,17031411100,1.70314E+14,1187084.079,1867457.995,41.79141057,-87.58953263,"(41.7914105694, -87.5895326278)"
POTASH BROS. SUPERMARKET,164,21,12000,A,1525 N CLARK ST,60610,NEAR NORTH SIDE,8,42,17031080201,1.70311E+14,1175288.471,1910618.448,41.91011794,-87.63149089,"(41.9101179449, -87.6314908914)"
Supermercado Santos,1091886,206261,4000,B,4045 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031830500,1.70318E+14,1149716.405,1883686.719,41.83674996,-87.72613266,"(41.8367499608, -87.7261326568)"
CERMAK PRODUCE,53313,17784,10000,A,4800 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190200,1.70312E+14,1143869.848,1918226.044,41.93164142,-87.74671991,"(41.9316414204, -87.7467199106)"
TRADER JOE'S EAST,1277005,211718,11600,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,1.70318E+14,1168978.244,1912136.792,41.91442371,-87.65462784,"(41.9144237141, -87.654627843)"
"TONY'S FINER FOODS ENTERPRISES, INC.",1717529,305203,31000,A,4137 N ELSTON AVE,60618,IRVING PARK,16,39,17031160400,1.70312E+14,1150401.299,1927194.414,41.9561262,-87.72248283,"(41.9561262015, -87.7224828263)"
Natural Country Deli,2017781,350688,3500,B,6452 N MILWAUKEE AVE,60631,NORWOOD PARK,10,41,17031100200,1.70311E+14,1132184.543,1942510.932,41.99849297,-87.78909537,"(41.9984929696, -87.7890953687)"
LOGAN CERTIFIED FOODS CORP,1046303,23391,4500,B,2857 W DIVERSEY AVE,60647,LOGAN SQUARE,22,35,17031220400,1.70312E+14,1156600.297,1918436.531,41.93197047,-87.69993162,"(41.93197047, -87.699931619)"
JEWEL FOOD STORE #3170,1366,259,30374,A,5320 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,1.70316E+14,1150568.177,1868914.952,41.79619759,-87.72339188,"(41.7961975914, -87.7233918834)"
MOUNSEF INTERNATIONAL,21126,86704,10001,A,4738 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140701,1.70311E+14,1154145.71,1931473.088,41.96779309,-87.7086027,"(41.9677930872, -87.7086027049)"
"SEVEN NINE ELEVEN FOOD MART, INC.",2036,401,4300,B,4884 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570400,1.70316E+14,1151496.512,1871991.203,41.80462115,-87.71990707,"(41.8046211506, -87.7199070655)"
A & R FOOD MART,9125,4227,2500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,1.70312E+14,1136148.465,1914149.527,41.92059646,-87.77519268,"(41.9205964582, -87.7751926809)"
GRAND FOOD MARKET,1221783,223107,3952,B,5202 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191200,1.70312E+14,1141369.196,1912898.166,41.91706775,-87.75604133,"(41.9170677465, -87.7560413324)"
PETE'S MEAT & GROCERY #2,1646096,296662,7500,B,2001 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031672000,1.70317E+14,1164235.477,1857536.331,41.76469612,-87.67359278,"(41.764696121, -87.6735927847)"
FIVE STAR CERTIFIED INC,7168,3771,5000,B,935 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,1.70317E+14,1171458.618,1847102.195,41.73590841,-87.64742288,"(41.7359084057, -87.6474228803)"
Dominick's #1703,1574461,5033,49320,A,255 E GRAND AVE,60611,NEAR NORTH SIDE,8,42,17031081403,1.70311E+14,1178351.17,1903928.033,41.89168984,-87.62044413,"(41.8916898398, -87.6204441348)"
SUPER MERCADO EL GUERRO,7546,3857,9375,B,1701 W 47TH ST,60609,NEW CITY,61,20,17031611300,1.70316E+14,1165786.546,1873500.583,41.80847124,-87.66745451,"(41.8084712383, -87.6674545133)"
PETE'S FRESH SUPERMARKET,1771242,312119,,A,2526 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,1.70318E+14,1159779.467,1889354.072,41.85210065,-87.68905111,"(41.85210065, -87.68905111)"
Chicago Health - Maple Street,2065274,357879,2900,B,22 W MAPLE ST,60610,NEAR NORTH SIDE,8,42,17031081100,1.70311E+14,1175919.202,1907658.874,41.90198255,-87.6292631,"(41.9019825524, -87.6292631031)"
NEW POP-IN,1719179,306063,8784,B,413 S KEDZIE AVE,60612,EAST GARFIELD PARK,27,28,17031271200,1.70313E+14,1155148.678,1897819.117,41.87542375,-87.70582036,"(41.8754237451, -87.7058203625)"
"Kan-Zaman Mart, Inc.",1119908,209575,4600,B,2005 S MICHIGAN AVE,60616,NEAR SOUTH SIDE,33,2,17031330100,1.70313E+14,1177567.032,1890666.648,41.85531767,-87.62372652,"(41.855317671, -87.6237265152)"
DEVON MARKET,1042888,201952,18500,A,1440 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,1.7031E+14,1165344.955,1942648.85,41.99822825,-87.66710447,"(41.9982282538, -87.6671044665)"
JEWEL FOOD STORE #3176,1404,259,32294,A,9400 S ASHLAND AVE,60620,WASHINGTON HEIGHTS,73,21,17031730300,1.70317E+14,1167281.295,1842343.881,41.72294122,-87.66286287,"(41.7229412182, -87.6628628713)"
ORLEANS MARKET,23467,9485,3002,B,316 W ILLINOIS ST,60610,NEAR NORTH SIDE,8,42,17031081800,1.70311E+14,1174028.504,1903591.667,41.89086429,-87.63632919,"(41.8908642852, -87.6363291879)"
CAESAR'S FOODS INC,13670,6312,10001,A,901 N DAMEN AVE,60622,WEST TOWN,24,32,17031242200,1.70312E+14,1162946.627,1906024.244,41.89777928,-87.67695887,"(41.8977792769, -87.6769588663)"
HAPPY FOODS,1618660,294177,11000,A,6783 N NORTHWEST HWY,60631,EDISON PARK,9,41,17031090200,1.70311E+14,1124182.694,1944613.811,42.00439926,-87.81848576,"(42.0043992612, -87.8184857554)"
"WAY LOW DISCOUNT FOOD, INC.",41036,16053,2500,B,1551 S KEDZIE AVE,60623,NORTH LAWNDALE,29,24,17031843100,1.70318E+14,1155321.423,1892143.566,41.85984596,-87.70533855,"(41.8598459614, -87.705338554)"
J R GROCERY STORE,5644,3466,10001,A,505 E 134TH ST,60827,RIVERDALE,54,9,17031540101,1.70315E+14,1182103.266,1816525.013,41.65176106,-87.60936661,"(41.6517610645, -87.6093666123)"
CENTRO MARKET,66257,20469,9100,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,1.70316E+14,1155963.76,1870068.76,41.79925704,-87.70357471,"(41.7992570437, -87.7035747066)"
SAVE-A-LOT  #852,1145759,216203,14166,A,7240 S STONY ISLAND AVE,60649,SOUTH SHORE,43,5,17031430400,1.70314E+14,1188030.885,1857120.957,41.76302237,-87.58639016,"(41.7630223653, -87.5863901619)"
"TONY'S FINER FOODS ENTERPRISES, INC.",1717532,305203,33000,A,4608 W BELMONT AVE,60641,PORTAGE PARK,15,30,17031151002,1.70312E+14,1144945.503,1920912.785,41.93899382,-87.74269899,"(41.9389938243, -87.7426989895)"
FOOD 4 LESS MIDWEST #789,1272529,251246,64486,A,4620 S DAMEN AVE,60609,NEW CITY,61,12,17031610300,1.70316E+14,1163694.548,1873920.779,41.80966853,-87.6751157,"(41.809668528, -87.6751156964)"
ADAMS FOOD MART,1817376,316090,2500,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,1.70313E+14,1141632.26,1903412.652,41.89103355,-87.75530965,"(41.8910335471, -87.7553096457)"
ALDI INC STORE 14,1242812,5273,15000,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,1.70318E+14,1138888.16,1894751.192,41.86731565,-87.76559794,"(41.8673156479, -87.765597943)"
RICHWELL MARKET,1070189,205927,7500,B,1835 S CANAL ST,60616,LOWER WEST SIDE,31,25,17031843200,1.70318E+14,1173469.326,1891121.287,41.85665718,-87.63875335,"(41.8566571782, -87.6387533453)"
DOMINICK'S # 12/0012,41645,5033,10001,A,6009 N BROADWAY,60660,EDGEWATER,77,48,17031030101,1.7031E+14,1167254.139,1940095.836,41.99118175,-87.66015508,"(41.9911817534, -87.6601550832)"
BUDGET FINER FOODS,1337515,260726,3200,B,6604 N SHERIDAN RD,60626,ROGERS PARK,1,49,17031010502,1.7031E+14,1167008.167,1944300.998,42.00272611,-87.66093837,"(42.0027261067, -87.6609383664)"
DISCOUNT PANTRY CORPORATION,32952,14616,3600,B,4153 W 63RD ST,60629,WEST LAWN,65,13,17031650301,1.70317E+14,1149540.479,1862455.906,41.77849291,-87.72732752,"(41.7784929073, -87.727327519)"
PAR BIRDIE FOODS,28222,11464,6000,B,2234 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,1.7031E+14,1160106.823,1942489.414,41.99790097,-87.68637822,"(41.9979009735, -87.6863782179)"
JEWEL FOOD STORE #3441,1375,259,22443,A,2940 N ASHLAND AVE,60657,LAKE VIEW,6,32,17031062600,1.70311E+14,1165101.021,1919776.936,41.93547203,-87.66865454,"(41.9354720327, -87.6686545431)"
CHARLIES  SUPERMARKET INC.,1441898,268397,2500,B,2941 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160601,1.70312E+14,1155799.622,1929051.344,41.96111443,-87.70258694,"(41.9611144263, -87.7025869386)"
JEWEL FOOD STORE #3501,1192909,259,56010,A,3400 N WESTERN AVE,60618,NORTH CENTER,5,47,17031843700,1.70318E+14,1159734.001,1922547.59,41.94318737,-87.68830202,"(41.9431873732, -87.6883020207)"
4343 PETES FRESH MARKET,1336669,260303,57000,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,1.70316E+14,1150447.926,1875370.286,41.81391431,-87.72366494,"(41.8139143113, -87.7236649419)"
LA FERIA GROCERY,26609,11067,10001,A,9704 S COMMERCIAL AVE,60617,SOUTH DEERING,51,10,17031510100,1.70315E+14,1197784.63,1841132.978,41.71891216,-87.5511743,"(41.7189121563, -87.5511742972)"
POTASH BROS INC,19826,8018,10001,A,875 N STATE ST,60610,NEAR NORTH SIDE,8,42,17031081201,1.70311E+14,1176242.1,1906530.221,41.8988782,-87.62811115,"(41.8988781974, -87.6281111483)"
IMPERIAL TOWER MARKET,22624,9323,6031,B,4250 N MARINE DR,60613,UPTOWN,3,46,17031031400,1.7031E+14,1170946.917,1928768.91,41.96001995,-87.64690603,"(41.960019954, -87.6469060276)"
MOO & OINK INC,11915,5928,21500,A,4848 W MADISON ST,60644,AUSTIN,25,28,17031251800,1.70313E+14,1143906.39,1899620.062,41.88058389,-87.74705294,"(41.8805838854, -87.7470529414)"
Save-A-Lot #882,2079367,216203,16290,A,344 E 63RD ST,60637,WASHINGTON PARK,40,20,17031400800,1.70314E+14,1179590.436,1863353.334,41.78032161,-87.61713538,"(41.7803216101, -87.6171353804)"
MARKET IN THE PARK,1334026,258947,5049,B,5050 S LAKE SHORE DR,60615,KENWOOD,39,4,17031390700,1.70314E+14,1189144.325,1871655.545,41.80287978,-87.58184369,"(41.8028797781, -87.5818436939)"
SUPERMERCADO CHAPALA,32236,86830,10001,A,7117 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,1.7031E+14,1163327.643,1947643.236,42.0119758,-87.67438406,"(42.0119757995, -87.6743840578)"
SUPERMERCADO GELA'S,67273,20695,3125,B,2701 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301701,1.70313E+14,1152182.03,1885772.175,41.84242453,-87.71703032,"(41.8424245295, -87.7170303155)"
FARM SUPER MARKET,2017764,339512,3000,B,2255 W DEVON AVE,60659,WEST RIDGE,2,50,17031020901,1.7031E+14,1159880.429,1942402.423,41.99766696,-87.68721346,"(41.9976669579, -87.687213456)"
ALDI INC #53,13964,5273,13981,A,5775 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,1.70316E+14,1141308.693,1868917.732,41.79638049,-87.75734757,"(41.7963804895, -87.7573475722)"
ALDI INC #64,13976,5273,11760,A,1767 N MILWAUKEE AVE,60647,WEST TOWN,24,32,17031831000,1.70318E+14,1161475.233,1911773.994,41.91358779,-87.68220284,"(41.91358779, -87.6822028354)"
LA CASA DEL PUEBLO INC,31675,14392,10001,A,1810 S BLUE ISLAND AVE,60608,LOWER WEST SIDE,31,25,17031310600,1.70313E+14,1167219.016,1891361.481,41.85745275,-87.66168833,"(41.8574527464, -87.6616883311)"
ALDI'S,1817903,5273,15255,A,4500 N BROADWAY,60640,UPTOWN,3,46,17031830700,1.70318E+14,1168297.69,1930121.367,41.96378896,-87.65660649,"(41.9637889643, -87.6566064924)"
FAIRPLAY FINER FOOD,10940,86481,10001,A,2200 S WESTERN AVE,60608,LOWER WEST SIDE,31,25,17031841300,1.70318E+14,1160669.426,1889318.197,41.85198384,-87.6857857,"(41.8519838396, -87.6857857042)"
LARAMIE BAKERY & DELI,2014141,350093,12331,A,3232 N HARLEM AVE,60634,DUNNING,17,36,17031170800,1.70312E+14,1127470.211,1920796.068,41.93898597,-87.80692906,"(41.9389859689, -87.8069290648)"
B & H FOOD & GROCERY,6068,3550,4500,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,1.70318E+14,1155850.757,1896704.149,41.87235004,-87.70327264,"(41.872350043, -87.7032726418)"
FRUTERIA EL MERCADO,21239,8832,5500,B,2759 S SPAULDING AVE,60623,SOUTH LAWNDALE,30,22,17031840800,1.70318E+14,1154858.008,1885248.053,41.84093316,-87.70722418,"(41.8409331636, -87.7072241769)"
ALDI #28,1519765,5273,15154,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,1.70316E+14,1155840.365,1871594.263,41.80344571,-87.70398627,"(41.8034457131, -87.7039862718)"
THE MARKET PLACE FOODSTORE,10794,24875,16900,A,521 W DIVERSEY PKWY,60614,LINCOLN PARK,7,43,17031070102,1.70311E+14,1172301.904,1918839.694,41.93274396,-87.64221885,"(41.9327439571, -87.6422188452)"
EDDIE'S FOOD MART,50432,17311,4500,B,1858 W 63RD ST,60636,WEST ENGLEWOOD,67,15,17031670600,1.70317E+14,1164782.287,1862921.113,41.77946116,-87.67143667,"(41.7794611564, -87.6714366715)"
RIVERSIDE DELI,6403,3619,5500,B,1656 W CORTLAND ST,60622,LOGAN SQUARE,22,32,17031832300,1.70318E+14,1164752.576,1912745.994,41.91618612,-87.67013494,"(41.916186115, -87.6701349439)"
FOODSMART,1474028,272175,13800,A,2901 W ARMITAGE AVE,60647,LOGAN SQUARE,22,35,17031222500,1.70312E+14,1156800.356,1913113.112,41.91735855,-87.69934107,"(41.9173585451, -87.6993410687)"
SUPERMARKET & TAQUERIA CARO,2014104,310507,4524,B,4937 W 47TH ST,60638,GARFIELD RIDGE,56,23,17031560300,1.70316E+14,1144086.205,1872974.314,41.80746088,-87.74706057,"(41.8074608778, -87.747060571)"
H & Z GROCERY STORE,3166,2823,10001,A,3638 W WRIGHTWOOD AVE,60647,LOGAN SQUARE,22,35,17031220702,1.70312E+14,1151510.738,1917078.383,41.92834525,-87.7186709,"(41.9283452514, -87.7186708995)"
ALDI FOODS #91,13994,5273,15565,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,1.70313E+14,1150675.921,1899694.81,41.88065941,-87.72219367,"(41.8806594115, -87.7221936689)"
ALDI'S,1817904,5273,11179,A,6520 W FULLERTON AVE,60707,BELMONT CRAGIN,19,36,17031831500,1.70318E+14,1132452.103,1915278.752,41.9237604,-87.78874776,"(41.9237604017, -87.7887477626)"
LORETO GROCERY,76774,22681,4499,B,4600 S FAIRFIELD AVE,60632,BRIGHTON PARK,58,12,17031842800,1.70318E+14,1158768.528,1874004.901,41.81000148,-87.69318135,"(41.8100014783, -87.6931813523)"
AROUND THE CLOCK,15860,6777,3000,B,1605 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,1.7031E+14,1164071.302,1950305.436,42.01926518,-87.67157207,"(42.0192651821, -87.6715720734)"
COUNTY FAIR FOODS,37096,15344,10001,A,10800 S WESTERN AVE,60643,MORGAN PARK,75,19,17031750300,1.70318E+14,1162271.311,1832938.987,41.69723821,-87.6814748,"(41.6972382088, -87.6814748042)"
LAWNDALE FOOD MARKET,39529,15829,6000,B,3705 W 16TH ST,60623,NORTH LAWNDALE,29,24,17031292200,1.70313E+14,1151911.139,1891750.084,41.85883397,-87.71786719,"(41.8588339683, -87.7178671863)"
"HYDE PARK PRODUCE, LTD",1884100,325993,10000,A,1226 E 53RD ST,60615,HYDE PARK,41,4,17031410700,1.70314E+14,1185427.705,1870419.67,41.7995768,-87.59551292,"(41.7995768022, -87.5955129219)"
ALDI FOODS STORE #90B,13992,5273,15565,A,2828 N CENTRAL AVE,60634,BELMONT CRAGIN,19,31,17031190402,1.70312E+14,1138506.861,1918378.101,41.93215768,-87.7664246,"(41.9321576791, -87.7664245988)"
SAVE-A-LOT  # 858,1272454,216203,12000,A,2858 E 83RD ST,60617,SOUTH CHICAGO,46,7,17031460302,1.70315E+14,1196917.321,1850533.972,41.74473084,-87.55403914,"(41.7447308395, -87.5540391375)"
ADA FOODS,50473,56673,4500,B,1281 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031671800,1.70317E+14,1168677.679,1857642.999,41.76489418,-87.6573078,"(41.7648941814, -87.6573078048)"
THE NEIGHBORHOOD STORE,47617,16859,4200,B,8313 S RACINE AVE,60620,AUBURN GRESHAM,71,21,17031711000,1.70317E+14,1169811.74,1849596.044,41.74278773,-87.65338425,"(41.7427877337, -87.6533842508)"
AM-PM FOOD MART & CELLULAR,1093813,207399,3500,B,1924 E 87TH ST,60617,AVALON PARK,45,8,17031450300,1.70315E+14,1190653.505,1847714.111,41.73714625,-87.57708099,"(41.7371462539, -87.5770809934)"
"MORELIA SUPERMARKET, INC.",1892862,243702,8000,B,7300 N WESTERN AVE,60645,WEST RIDGE,2,50,17031020200,1.7031E+14,1158974.932,1948414.861,42.01418398,-87.69037835,"(42.0141839829, -87.6903783498)"
DOMINICKS #2890,2042094,5033,55129,A,5201 N SHERIDAN RD,60640,EDGEWATER,77,48,17031030706,1.7031E+14,1168741.552,1934750.447,41.97648167,-87.65483978,"(41.9764816676, -87.6548397772)"
WALMART,2164075,303471,,A,1424 W 47TH ST,60609,NEW CITY,61,3,17031842600,1.70318E+14,1167548.598,1167550.933,41.80876829,-87.66098821,"(41.80876829, -87.66098821)"
ALDI'S #93,1743165,5273,16890,A,7545 S WESTERN AVE,60620,ASHBURN,70,18,17031700100,1.70317E+14,1161731.574,1854361.076,41.75603509,-87.68285832,"(41.756035091, -87.6828583216)"
TREASURE ISLAND FOODS,1311,85291,10001,A,3460 N BROADWAY,60657,LAKE VIEW,6,44,17031062000,1.70311E+14,1171266.718,1923235.211,41.94482827,-87.64589349,"(41.9448282656, -87.6458934884)"
OLIVE MOUNT MART,1337266,205718,3000,B,3536 W 63RD ST,60629,CHICAGO LAWN,66,15,17031660400,1.70317E+14,1153755.809,1862648.962,41.77894012,-87.71186857,"(41.7789401249, -87.7118685723)"
JEWEL FOOD STORE #3407,1394,259,19238,A,5516 N CLARK ST,60640,EDGEWATER,77,40,17031030900,1.7031E+14,1164969.764,1936801.107,41.98218988,-87.66865163,"(41.9821898846, -87.668651628)"
FURTERIA EL SERRANITO,2031979,352794,2500,B,1755 W 38TH ST,60609,MCKINLEY PARK,59,11,17031590700,1.70316E+14,1165040.197,1879467.377,41.82486062,-87.67002302,"(41.8248606245, -87.6700230192)"
PEORIA PACKING LTD,33970,14795,8000,B,1300 W LAKE ST,60607,NEAR WEST SIDE,28,27,17031833000,1.70318E+14,1167882.585,1901616.994,41.88558042,-87.65895691,"(41.88558042, -87.6589569108)"
CARNICERIA JIMENEZ INC,1693,85292,16000,A,4204 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,1.70312E+14,1148051.225,1910341.243,41.90992525,-87.73155722,"(41.9099252471, -87.7315572163)"
GOLDMORE FOOD,34046,14804,2500,B,1949 W 51ST ST,60609,NEW CITY,61,16,17031611700,1.70316E+14,1164000.681,1870810.755,41.80112781,-87.67408034,"(41.8011278091, -87.6740803441)"
SOLID GOLD,1490386,203033,3300,B,3821 W ROOSEVELT RD,60624,NORTH LAWNDALE,29,24,17031838700,1.70318E+14,1151058.508,1894398.95,41.86611949,-87.72092757,"(41.866119494, -87.720927574)"
Food 4 Less Midwest,1596210,251246,62000,A,7030 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,17,17031671500,1.70317E+14,1166858.452,1857955.501,41.76579077,-87.66396689,"(41.7657907704, -87.6639668865)"
CLARENDON FOOD MART INC,29515,11687,10000,A,4183 N CLARENDON AVE,60613,UPTOWN,3,46,17031031400,1.7031E+14,1170205.441,1928028.605,41.9580048,-87.64965374,"(41.9580048015, -87.6496537356)"
JEWEL FOOD STORE #3043,1144384,259,37641,A,443 E 34TH ST,60616,DOUGLAS,35,4,17031351000,1.70314E+14,1180118.194,1882571.11,41.83304474,-87.61461136,"(41.8330447382, -87.6146113644)"
LA PLAMA,22662,63389,15000,A,4173 S ARCHER AVE,60632,BRIGHTON PARK,58,14,17031580501,1.70316E+14,1157347.056,1876755.826,41.81757931,-87.69832059,"(41.8175793077, -87.6983205863)"
SUPER MAS MARKET,1997806,347422,32000,A,1422 W 47TH ST,60609,NEW CITY,61,3,17031842600,1.70318E+14,1167499.014,1873621.133,41.80876546,-87.66117011,"(41.8087654583, -87.6611701084)"
CARNICERIA EL PORVENIR,1768971,311076,2500,B,150 E KENSINGTON AVE,60628,WEST PULLMAN,53,9,17031530100,1.70315E+14,1179443.181,1828274.079,41.6840632,-87.61874297,"(41.684063198, -87.6187429679)"
JEWEL FOOD STORE #3282,1337,259,24922,A,4729 N CENTRAL AVE,60630,PORTAGE PARK,15,45,17031150300,1.70312E+14,1138185.44,1930999.225,41.96679711,-87.76729948,"(41.966797112, -87.7672994806)"
"THREE ROOSTERS, INC.",1980803,345267,4830,B,12247 S HALSTED ST,60628,WEST PULLMAN,53,34,17031530501,1.70315E+14,1173256.244,1823452.926,41.67097177,-87.64153305,"(41.6709717654, -87.6415330496)"
A & B FOOD MARKET INC,43181,6483,10001,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,1.70313E+14,1142184.043,1907473.38,41.90216644,-87.75318235,"(41.9021664421, -87.7531823487)"
JEWEL FOOD STORE #3514,1385,259,20285,A,3531 N BROADWAY,60657,LAKE VIEW,6,46,17031061800,1.70311E+14,1171090.408,1923800.986,41.94638465,-87.64652486,"(41.9463846516, -87.6465248633)"
ALDI INC STORE #90,14008,5273,16340,A,9017 S HALSTED ST,60620,AUBURN GRESHAM,71,21,17031711500,1.70317E+14,1172597.811,1845066.53,41.73029727,-87.64330909,"(41.7302972736, -87.6433090924)"
SUPERMERCADO LA VILLA,1800261,313811,9000,B,5020 W FULLERTON AVE,60639,BELMONT CRAGIN,19,31,17031190800,1.70312E+14,1142420.009,1915530.88,41.92427271,-87.75211504,"(41.9242727136, -87.7521150377)"
CERMAK PRODUCE,1574003,286531,14000,A,4401 W ARMITAGE AVE,60639,HERMOSA,20,31,17031831200,1.70318E+14,1146718.753,1912886.209,41.91693444,-87.73638715,"(41.9169344398, -87.7363871475)"
